,0,1,2,3,4,5
0,1.134,1.953,1.03657294,1.48814776,0.818,0.896
1,1.115,1.839,1.01490508,1.47428878,0.815,0.926
2,1.13,1.876,1.01945013,1.49921065,0.789,0.938
3,1.149,1.915,1.02413853,1.52233392,0.778,0.94
4,1.169,1.947,1.02810804,1.54051312,0.773,0.934
